Classifier,MAE,STDDEV
FGA,0.152,0.12
Purity-FGA,0.146,0.113
Staging-FGA,0.155,0.118
Subtyping-FGA,0.159,0.117
Staging-Purity-FGA,0.156,0.117
Subtyping-Purity-FGA,0.229,0.149
Subtyping-Staging-FGA,0.193,0.133
Subtyping-Staging-Purity-FGA,0.179,0.138
