Sample,Purity,Purity-FGA,Staging-Purity,Subtyping-Purity,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity,Subtyping-Staging-Purity-FGA
91,0.08,0.078,0.068,0.221,0.068,0.203,0.097,0.126
92,0.01,0.016,0.053,0.11,0.05,0.009,0.007,0.198
93,0.206,0.071,0.239,0.14,0.13,0.087,0.03,0.137
94,0.017,0.027,0.05,0.16,0.003,0.016,0.039,0.289
95,0.012,0.016,0.073,0.143,0.045,0.003,0.001,0.115
96,0.012,0.008,0.083,0.186,0.078,0.112,0.037,0.151
97,0.205,0.181,0.052,0.247,0.132,0.145,0.326,0.059
98,0.146,0.192,0.268,0.257,0.412,0.146,0.12,0.244
99,0.08,0.231,0.2,0.2,0.08,0.045,0.012,0.163
100,0.184,0.198,0.153,0.125,0.111,0.106,0.153,0.333
101,0.003,0.024,0.109,0.226,0.048,0.007,0.131,0.153
102,0.089,0.08,0.133,0.2,0.007,0.064,0.048,0.282
103,0.057,0.04,0.09,0.072,0.028,0.025,0.091,0.176
104,0.072,0.075,0.025,0.098,0.164,0.06,0.025,0.075
105,0.37,0.252,0.232,0.145,0.184,0.153,0.214,0.427
106,0.095,0.151,0.223,0.326,0.103,0.218,0.126,0.356
107,0.008,0.065,0.063,0.099,0.116,0.072,0.139,0.159
108,0.153,0.066,0.074,0.044,0.046,0.064,0.074,0.218
109,0.093,0.105,0.02,0.269,0.128,0.079,0.275,0.041
110,0.058,0.134,0.206,0.297,0.157,0.224,0.392,0.455
111,0.184,0.209,0.323,0.253,0.212,0.186,0.085,0.322
112,0.064,0.034,0.008,0.138,0.073,0.121,0.182,0.035
113,0.06,0.067,0.036,0.235,0.116,0.022,0.156,0.212
114,0.138,0.207,0.257,0.208,0.154,0.209,0.092,0.233
115,0.522,0.451,0.219,0.333,0.378,0.458,0.313,0.386
116,0.112,0.083,0.001,0.164,0.025,0.053,0.278,0.078
117,0.015,0.006,0.035,0.044,0.035,0.057,0.079,0.151
118,0.181,0.139,0.101,0.108,0.171,0.043,0.201,0.04
119,0.03,0.017,0.05,0.14,0.003,0.051,0.054,0.148
120,0.079,0.05,0.093,0.055,0.139,0.129,0.136,0.163
121,0.161,0.124,0.182,0.083,0.122,0.14,0.097,0.091
122,0.076,0.155,0.219,0.215,0.143,0.121,0.071,0.333
123,0.021,0.072,0.041,0.213,0.019,0.021,0.102,0.244
124,0.13,0.159,0.239,0.157,0.072,0.202,0.018,0.27
125,0.069,0.146,0.195,0.276,0.069,0.16,0.173,0.131
126,0.313,0.253,0.201,0.085,0.294,0.176,0.074,0.077
127,0.085,0.052,0.008,0.029,0.024,0.014,0.193,0.263
128,0.29,0.221,0.099,0.198,0.253,0.228,0.303,0.046
129,0.087,0.042,0.142,0.191,0.171,0.063,0.154,0.102
130,0.095,0.074,0.064,0.014,0.277,0.015,0.141,0.109
131,0.036,0.009,0.071,0.087,0.069,0.01,0.129,0.103
132,0.0,0.042,0.08,0.125,0.076,0.031,0.057,0.193
133,0.024,0.009,0.042,0.161,0.002,0.035,0.064,0.204
134,0.001,0.02,0.009,0.212,0.03,0.03,0.02,0.169
135,0.041,0.009,0.016,0.138,0.129,0.017,0.003,0.257
136,0.277,0.281,0.226,0.372,0.191,0.273,0.506,0.518
137,0.054,0.082,0.195,0.169,0.002,0.114,0.102,0.084
138,0.296,0.237,0.198,0.369,0.244,0.326,0.102,0.203
139,0.038,0.076,0.095,0.133,0.134,0.084,0.026,0.062
140,0.124,0.08,0.045,0.128,0.027,0.219,0.127,0.029
141,0.052,0.033,0.023,0.072,0.041,0.037,0.021,0.059
142,0.01,0.007,0.026,0.065,0.008,0.015,0.077,0.206
143,0.138,0.175,0.052,0.156,0.14,0.102,0.171,0.387
144,0.004,0.028,0.003,0.118,0.031,0.037,0.055,0.189
145,0.147,0.178,0.167,0.018,0.159,0.22,0.275,0.359
146,0.165,0.103,0.03,0.068,0.103,0.2,0.181,0.108
147,0.131,0.289,0.375,0.345,0.266,0.4,0.303,0.283
148,0.108,0.064,0.054,0.149,0.06,0.048,0.206,0.022
149,0.107,0.043,0.027,0.119,0.023,0.014,0.024,0.011
150,0.343,0.341,0.355,0.508,0.3,0.44,0.453,0.386
151,0.164,0.185,0.114,0.009,0.163,0.234,0.233,0.261
152,0.36,0.358,0.171,0.332,0.291,0.308,0.531,0.284
153,0.005,0.012,0.08,0.146,0.04,0.018,0.034,0.166
154,0.007,0.013,0.069,0.162,0.046,0.006,0.004,0.134
155,0.263,0.25,0.154,0.092,0.264,0.278,0.215,0.183
156,0.145,0.122,0.003,0.178,0.164,0.135,0.307,0.167
157,0.003,0.034,0.054,0.089,0.103,0.005,0.013,0.167
158,0.05,0.021,0.093,0.119,0.175,0.028,0.212,0.089
159,0.252,0.237,0.147,0.226,0.309,0.321,0.372,0.229
160,0.299,0.294,0.156,0.211,0.281,0.139,0.338,0.23
161,0.016,0.013,0.107,0.129,0.061,0.045,0.056,0.124
162,0.004,0.029,0.103,0.206,0.008,0.032,0.084,0.12
163,0.064,0.06,0.02,0.046,0.092,0.104,0.048,0.103
164,0.074,0.118,0.1,0.101,0.172,0.072,0.101,0.154
165,0.004,0.021,0.087,0.243,0.102,0.038,0.078,0.043
166,0.003,0.017,0.05,0.188,0.125,0.036,0.094,0.084
167,0.068,0.05,0.068,0.076,0.061,0.014,0.033,0.103
168,0.08,0.079,0.093,0.0,0.052,0.122,0.184,0.132
169,0.001,0.025,0.07,0.127,0.043,0.02,0.023,0.159
170,0.003,0.017,0.103,0.185,0.054,0.001,0.037,0.171
171,0.221,0.231,0.204,0.058,0.309,0.24,0.133,0.033
172,0.319,0.3,0.309,0.316,0.412,0.296,0.225,0.364
173,0.002,0.025,0.111,0.182,0.042,0.0,0.08,0.066
174,0.006,0.051,0.056,0.144,0.096,0.041,0.114,0.198
175,0.179,0.197,0.208,0.211,0.148,0.187,0.034,0.236
176,0.252,0.294,0.247,0.185,0.163,0.227,0.091,0.307
177,0.017,0.01,0.02,0.224,0.021,0.026,0.083,0.111
178,0.009,0.02,0.057,0.064,0.025,0.013,0.009,0.112
179,0.114,0.17,0.192,0.397,0.164,0.331,0.392,0.414
180,0.181,0.264,0.324,0.137,0.136,0.23,0.047,0.265
181,0.015,0.032,0.077,0.037,0.025,0.019,0.024,0.253
182,0.042,0.053,0.006,0.079,0.106,0.067,0.213,0.069
183,0.371,0.343,0.281,0.23,0.395,0.235,0.205,0.16
184,0.133,0.083,0.059,0.052,0.21,0.024,0.112,0.033
185,0.069,0.081,0.111,0.114,0.032,0.131,0.042,0.18
186,0.064,0.036,0.006,0.159,0.128,0.065,0.001,0.142
187,0.245,0.227,0.293,0.176,0.366,0.265,0.29,0.284
188,0.081,0.012,0.054,0.143,0.084,0.058,0.08,0.027
189,0.107,0.183,0.195,0.423,0.115,0.319,0.517,0.198
190,0.281,0.22,0.174,0.062,0.324,0.152,0.069,0.211
191,0.205,0.164,0.084,0.0,0.27,0.085,0.019,0.021
192,0.052,0.005,0.021,0.125,0.102,0.048,0.096,0.012
193,0.177,0.19,0.158,0.018,0.262,0.159,0.04,0.121
