Sample,FRACTION_GENOME_ALTERED
0,0.270200014114379
1,0.270200014114379
4,0.255199998617172
5,0.255199998617172
12,0.0184000004082918
13,0.384999990463256
14,0.384999990463256
17,0.366100013256073
18,0.366100013256073
21,0.703999996185302
24,0.5067999958992
25,0.466500014066696
26,0.466500014066696
33,0.216399997472763
34,0.216399997472763
37,0.638800024986267
38,0.591799974441528
44,0.000199999994947575
45,0.000199999994947575
48,0.486400008201599
49,0.486400008201599
52,0.238900005817413
53,0.238900005817413
56,0.0439000017940998
65,0.0007999999797903
67,0.581099987030029
69,0.581799983978271
71,0.217700004577636
72,0.217700004577636
73,0.217700004577636
77,0.306300014257431
79,0.0109000001102685
80,0.111599996685981
81,0.111599996685981
84,0.11770000308752
85,0.11770000308752
88,0.142800003290176
90,0.405999988317489
91,0.302599996328353
92,0.433400005102157
97,0.0410000011324882
102,0.096400000154972
105,0.254999995231628
107,0.277900010347366
108,0.0324999988079071
109,0.064300000667572
110,0.484499990940094
112,0.283499985933303
113,0.278299987316131
114,0.104599997401237
115,0.161400005221366
116,0.461400002241134
117,0.0439000017940998
118,0.0758000016212463
120,0.564199984073638
122,0.18019999563694
124,0.331999987363815
126,0.00659999996423721
127,0.188600003719329
128,0.541899979114532
129,0.476999998092651
130,0.206900000572204
131,0.33160001039505
132,0.366699993610382
133,0.426400005817413
134,0.215000003576278
135,0.206599995493888
136,0.375299990177154
137,0.350899994373321
141,0.0274999998509883
142,0.489100009202957
143,0.0590999983251094
145,0.0386000014841556
146,0.333499997854232
147,0.672900021076202
149,0.442200005054473
150,0.316000014543533
151,0.0549000017344951
152,0.105599999427795
153,0.111199997365474
156,0.937300026416778
157,0.0
158,0.0
161,0.36269998550415
162,0.36269998550415
165,0.126000002026557
166,0.126000002026557
169,0.45210000872612
170,0.45210000872612
173,0.368000000715255
174,0.368000000715255
177,0.286900013685226
178,0.286900013685226
181,0.589200019836425
182,0.589200019836425
185,0.60860002040863
186,0.224999994039535
187,0.394400000572204
188,0.233099997043609
189,0.15710000693798
190,0.599099993705749
191,0.4408999979496
192,0.294400006532669
193,0.0298999994993209
194,0.772400021553039
195,0.851300001144409
197,0.419999986886978
198,0.504400014877319
199,0.0
200,0.14920000731945
201,0.520099997520446
202,0.601000010967254
203,0.479400008916854
204,0.36379998922348
205,0.36379998922348
208,0.136099994182586
209,0.136099994182586
216,0.31369999051094
217,0.31369999051094
224,0.356700003147125
225,0.356700003147125
228,0.42519998550415
229,0.42519998550415
232,0.404000014066696
233,0.404000014066696
236,0.739300012588501
237,0.739300012588501
240,0.509800016880035
241,0.57039999961853
242,0.0755999982357025
243,0.49439999461174
245,0.0368999987840652
246,0.627200007438659
247,0.426200002431869
248,0.231399998068809
250,0.408100008964538
251,0.104599997401237
253,0.589600026607513
254,0.0648000016808509
255,0.0648000016808509
258,0.210800006985664
259,0.210800006985664
262,0.65990000963211
263,0.108400002121925
264,0.215299993753433
265,0.508199989795684
266,0.821600019931793
268,0.267199993133544
269,0.0318000018596649
270,0.115500003099441
271,0.338899999856948
274,0.385300010442733
277,0.516600012779235
278,0.330799996852874
279,0.45890000462532
281,0.0275999996811151
282,0.142700001597404
283,0.38960000872612
285,0.134900003671646
286,0.092299997806549
287,0.242799997329711
288,0.59060001373291
289,0.0680999979376792
290,0.000199999994947575
292,0.596499979496002
293,0.0768999978899955
294,0.108099997043609
295,0.727699995040893
297,0.606299996376037
298,0.147699996829032
299,0.109700001776218
300,0.0144999995827674
301,0.352899998426437
303,0.273200005292892
304,0.243000000715255
305,0.136999994516372
308,0.387699991464614
309,0.325100004673004
311,0.0324000008404254
313,0.0417999997735023
314,0.416299998760223
315,0.640399992465972
316,0.344399988651275
317,0.411300003528594
318,0.330900013446807
319,0.062399998307228
320,0.407400012016296
321,0.373299986124038
322,0.113899998366832
323,0.403400003910064
325,0.166899994015693
327,0.126300007104873
328,0.371899992227554
329,0.26910001039505
330,0.0935999974608421
331,0.0368999987840652
333,0.121399998664855
334,0.298200011253356
335,0.133599996566772
337,0.167699992656707
339,0.0346000008285045
340,0.299199998378753
341,0.245900005102157
342,0.237000003457069
343,0.0417999997735023
344,0.238600000739097
346,0.405200004577636
348,0.454499989748001
349,0.254900008440017
350,0.503199994564056
351,0.00039999998989515
352,0.0
353,0.418300002813339
355,0.000699999975040555
356,0.319599986076355
357,0.185900002717971
358,0.259200006723403
359,0.524600028991699
361,0.35080000758171
362,0.349900007247924
363,0.258899986743927
365,0.0135000003501772
366,0.621800005435943
367,0.130400002002716
368,0.555700004100799
369,0.493900001049041
370,0.355199992656707
371,0.193200007081031
372,0.280600011348724
373,0.0944000035524368
374,0.300700008869171
379,0.447600007057189
380,0.414099991321563
381,0.186199992895126
382,0.0114000001922249
383,0.19709999859333
384,0.686800003051757
385,0.197500005364418
388,0.431100010871887
389,0.0430999994277954
390,0.667400002479553
391,0.490999996662139
392,0.595399975776672
393,0.627699971199035
396,0.655799984931945
397,0.654500007629394
399,0.127200007438659
400,0.00039999998989515
402,0.0759999975562095
404,0.483599990606308
405,0.380499988794326
406,0.154499992728233
408,0.544300019741058
411,0.541999995708465
