Sample,Purity-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity-FGA
174,0.011,0.208,0.307,0.127
175,0.059,0.082,0.11,0.012
176,0.32,0.312,0.039,0.404
177,0.435,0.185,0.018,0.321
178,0.033,0.047,0.109,0.087
179,0.247,0.262,0.472,0.359
180,0.241,0.332,0.443,0.457
181,0.037,0.006,0.05,0.086
182,0.079,0.094,0.067,0.202
183,0.016,0.15,0.234,0.119
184,0.214,0.276,0.413,0.154
185,0.154,0.224,0.373,0.114
186,0.101,0.001,0.114,0.101
187,0.252,0.293,0.325,0.346
188,0.162,0.2,0.266,0.24
189,0.179,0.318,0.337,0.068
190,0.043,0.165,0.114,0.113
191,0.213,0.186,0.156,0.302
192,0.222,0.221,0.489,0.277
193,0.275,0.36,0.564,0.52
194,0.048,0.093,0.046,0.143
195,0.343,0.308,0.466,0.486
196,0.346,0.261,0.537,0.408
197,0.167,0.176,0.145,0.176
198,0.067,0.072,0.126,0.074
199,0.016,0.001,0.248,0.145
200,0.162,0.181,0.297,0.207
201,0.233,0.283,0.394,0.464
202,0.381,0.382,0.43,0.438
203,0.084,0.005,0.27,0.108
204,0.029,0.036,0.144,0.117
205,0.124,0.067,0.339,0.238
206,0.03,0.065,0.117,0.046
207,0.031,0.038,0.293,0.051
208,0.429,0.472,0.618,0.584
209,0.001,0.004,0.113,0.11
210,0.117,0.005,0.047,0.075
211,0.172,0.173,0.408,0.057
212,0.431,0.391,0.539,0.194
213,0.16,0.178,0.299,0.362
214,0.238,0.272,0.405,0.277
215,0.068,0.029,0.16,0.116
216,0.309,0.285,0.033,0.323
217,0.014,0.02,0.243,0.109
218,0.085,0.097,0.007,0.046
219,0.122,0.188,0.376,0.288
220,0.168,0.242,0.447,0.141
221,0.185,0.101,0.017,0.077
222,0.101,0.005,0.075,0.244
223,0.027,0.099,0.194,0.019
224,0.05,0.037,0.324,0.038
225,0.042,0.044,0.071,0.137
226,0.122,0.145,0.258,0.225
227,0.225,0.292,0.381,0.316
228,0.231,0.217,0.433,0.179
229,0.177,0.028,0.087,0.403
230,0.063,0.004,0.12,0.384
231,0.062,0.165,0.14,0.008
232,0.181,0.281,0.245,0.141
233,0.099,0.183,0.388,0.325
234,0.062,0.18,0.242,0.134
235,0.101,0.067,0.402,0.314
236,0.195,0.281,0.455,0.252
237,0.12,0.107,0.228,0.258
238,0.108,0.189,0.317,0.042
239,0.2,0.099,0.423,0.217
240,0.234,0.289,0.353,0.123
241,0.024,0.005,0.124,0.124
242,0.146,0.037,0.02,0.335
243,0.106,0.036,0.167,0.043
244,0.12,0.12,0.262,0.067
245,0.075,0.045,0.277,0.039
246,0.266,0.225,0.103,0.423
247,0.002,0.088,0.226,0.008
248,0.185,0.147,0.397,0.267
249,0.286,0.215,0.241,0.409
250,0.187,0.245,0.357,0.18
251,0.247,0.37,0.404,0.375
252,0.058,0.021,0.22,0.08
253,0.28,0.228,0.197,0.543
254,0.226,0.26,0.468,0.261
255,0.211,0.201,0.015,0.322
256,0.075,0.007,0.09,0.249
257,0.074,0.044,0.137,0.066
258,0.258,0.226,0.045,0.012
259,0.091,0.235,0.149,0.099
260,0.099,0.082,0.173,0.273
261,0.061,0.013,0.245,0.125
262,0.057,0.041,0.198,0.058
263,0.101,0.121,0.346,0.22
264,0.262,0.258,0.434,0.18
265,0.177,0.251,0.169,0.319
266,0.003,0.115,0.056,0.058
267,0.161,0.22,0.016,0.104
268,0.223,0.211,0.246,0.353
269,0.146,0.217,0.082,0.015
270,0.099,0.138,0.319,0.003
271,0.066,0.025,0.205,0.036
272,0.106,0.127,0.274,0.066
273,0.091,0.088,0.234,0.173
274,0.249,0.254,0.346,0.104
275,0.075,0.062,0.047,0.15
276,0.072,0.145,0.168,0.087
277,0.119,0.142,0.317,0.056
278,0.015,0.031,0.254,0.209
279,0.065,0.026,0.277,0.13
280,0.031,0.022,0.234,0.023
281,0.099,0.242,0.273,0.083
282,0.058,0.066,0.149,0.041
283,0.251,0.289,0.055,0.068
284,0.192,0.167,0.457,0.33
285,0.102,0.027,0.146,0.018
286,0.292,0.275,0.115,0.155
287,0.101,0.029,0.181,0.094
288,0.592,0.581,0.797,0.77
289,0.299,0.261,0.109,0.034
290,0.468,0.369,0.219,0.188
291,0.138,0.122,0.08,0.118
292,0.142,0.179,0.091,0.023
293,0.079,0.02,0.161,0.049
294,0.357,0.303,0.319,0.4
295,0.099,0.215,0.044,0.003
296,0.448,0.482,0.315,0.663
297,0.087,0.077,0.113,0.103
298,0.125,0.144,0.246,0.054
299,0.329,0.346,0.326,0.187
300,0.017,0.067,0.22,0.222
301,0.148,0.153,0.435,0.04
302,0.022,0.003,0.022,0.092
303,0.234,0.145,0.029,0.075
304,0.011,0.052,0.164,0.225
305,0.291,0.371,0.378,0.369
306,0.02,0.023,0.179,0.062
307,0.255,0.235,0.217,0.241
308,0.087,0.006,0.108,0.062
309,0.12,0.161,0.13,0.086
310,0.179,0.126,0.106,0.008
