Sample,Purity-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity-FGA
174,0.051,0.096,0.041,0.198
175,0.197,0.148,0.187,0.236
176,0.294,0.163,0.227,0.307
177,0.01,0.021,0.026,0.111
178,0.02,0.025,0.013,0.112
179,0.17,0.164,0.331,0.414
180,0.264,0.136,0.23,0.265
181,0.032,0.025,0.019,0.253
182,0.053,0.106,0.067,0.069
183,0.343,0.395,0.235,0.16
184,0.083,0.21,0.024,0.033
185,0.081,0.032,0.131,0.18
186,0.036,0.128,0.065,0.142
187,0.227,0.366,0.265,0.284
188,0.012,0.084,0.058,0.027
189,0.183,0.115,0.319,0.198
190,0.22,0.324,0.152,0.211
191,0.164,0.27,0.085,0.021
192,0.005,0.102,0.048,0.012
193,0.19,0.262,0.159,0.121
194,0.397,0.386,0.43,0.274
195,0.079,0.075,0.076,0.058
196,0.295,0.204,0.26,0.362
197,0.391,0.335,0.321,0.381
198,0.045,0.082,0.034,0.1
199,0.137,0.127,0.146,0.145
200,0.029,0.061,0.019,0.149
201,0.018,0.025,0.005,0.097
202,0.179,0.136,0.09,0.157
203,0.0,0.13,0.067,0.137
204,0.004,0.007,0.115,0.047
205,0.009,0.031,0.044,0.202
206,0.067,0.012,0.093,0.008
207,0.053,0.098,0.042,0.084
208,0.02,0.021,0.162,0.177
209,0.223,0.059,0.508,0.234
210,0.037,0.029,0.092,0.134
211,0.01,0.021,0.032,0.028
212,0.005,0.06,0.002,0.058
213,0.024,0.036,0.02,0.136
214,0.21,0.21,0.238,0.08
215,0.143,0.177,0.148,0.062
216,0.007,0.038,0.006,0.144
217,0.041,0.077,0.06,0.116
218,0.074,0.068,0.11,0.32
219,0.027,0.019,0.024,0.198
220,0.018,0.059,0.038,0.084
221,0.141,0.147,0.113,0.043
222,0.025,0.071,0.003,0.194
223,0.045,0.004,0.012,0.086
224,0.073,0.113,0.06,0.081
225,0.054,0.071,0.077,0.005
226,0.083,0.016,0.193,0.155
227,0.01,0.014,0.014,0.183
228,0.01,0.007,0.005,0.223
229,0.176,0.128,0.12,0.332
230,0.258,0.274,0.118,0.276
231,0.045,0.228,0.013,0.032
232,0.004,0.0,0.015,0.079
233,0.051,0.032,0.032,0.006
234,0.073,0.194,0.169,0.033
235,0.173,0.186,0.203,0.027
236,0.268,0.314,0.317,0.463
237,0.095,0.232,0.201,0.007
238,0.23,0.23,0.312,0.04
239,0.016,0.082,0.11,0.03
240,0.139,0.076,0.068,0.304
241,0.132,0.14,0.144,0.067
242,0.138,0.121,0.111,0.115
243,0.181,0.194,0.087,0.005
244,0.176,0.117,0.039,0.132
245,0.139,0.158,0.204,0.198
246,0.081,0.132,0.08,0.102
247,0.055,0.04,0.003,0.319
248,0.008,0.029,0.064,0.004
249,0.027,0.122,0.082,0.08
250,0.361,0.369,0.434,0.589
251,0.328,0.349,0.375,0.362
252,0.056,0.059,0.002,0.221
